timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:35:06.375,71.95,71.98,0.03,8700,12006
09:35:06.375,71.95,71.97,0.02,8700,12106
09:35:06.376,71.94,71.97,0.03,8600,12106
09:35:06.383,71.94,71.95,0.01,8700,12206
09:35:06.386,71.94,71.96,0.02,8400,12006
09:35:06.395,71.93,71.96,0.03,8300,12006
09:35:06.396,71.93,71.95,0.02,8300,12106
09:35:06.396,71.94,71.95,0.01,8400,12106
09:35:06.399,71.94,71.96,0.02,8500,12006
09:35:06.401,71.93,71.96,0.03,8400,11906
09:35:06.420,71.94,71.96,0.02,8600,11906
09:35:06.500,71.94,71.95,0.01,9000,11806
09:35:06.569,71.93,71.95,0.02,8800,11806
09:35:06.575,71.93,71.94,0.01,8800,11906
09:35:06.771,71.93,71.95,0.02,9000,11706
09:35:06.872,71.93,71.94,0.01,8900,11706
09:35:07.097,71.93,71.95,0.02,8900,11606
09:35:08.961,71.94,71.95,0.01,9300,11606
09:35:08.962,71.94,71.96,0.02,9700,11406
09:35:09.493,71.94,71.95,0.01,9800,11706
09:35:09.545,71.93,71.95,0.02,9200,11606
09:35:09.550,71.93,71.94,0.01,9200,11706
09:35:10.393,71.92,71.94,0.02,8800,11606
09:35:10.443,71.91,71.94,0.03,8600,11606
09:35:10.444,71.91,71.93,0.02,8500,11606
09:35:10.469,71.9,71.93,0.03,8500,11406
09:35:10.493,71.91,71.93,0.02,8600,11406
09:35:11.186,71.9,71.93,0.03,9000,11806
09:35:11.186,71.9,71.92,0.02,9000,11906
09:35:11.200,71.89,71.92,0.03,8800,11906
09:35:11.202,71.89,71.91,0.02,8900,11906
09:35:11.300,71.9,71.91,0.01,9000,11706
09:35:12.420,71.89,71.91,0.02,9000,11606
09:35:14.429,71.89,71.9,0.01,8800,13406
09:35:14.520,71.88,71.9,0.02,9100,13406
09:35:14.521,71.88,71.89,0.01,9100,13506
09:35:15.216,71.88,71.9,0.02,9175,13206
09:35:15.317,71.88,71.89,0.01,9275,13206
09:35:16.546,71.88,71.9,0.02,9475,13106
09:35:16.553,71.89,71.9,0.01,9175,13106
09:35:17.471,71.89,71.91,0.02,9275,13006
09:35:17.573,71.89,71.9,0.01,9575,13106
09:35:22.597,71.89,71.91,0.02,9475,11306
09:35:22.651,71.9,71.91,0.01,9575,11406
09:35:22.651,71.89,71.91,0.02,9475,11406
09:35:22.651,71.9,71.91,0.01,9575,11406
09:35:22.739,71.9,71.93,0.03,9575,11206
09:35:22.809,71.91,71.93,0.02,9575,10703
09:35:23.061,71.9,71.93,0.03,9275,10703
09:35:23.063,71.9,71.92,0.02,9275,10803
09:35:23.064,71.89,71.92,0.03,9175,10903
09:35:23.215,71.9,71.92,0.02,8975,11003
09:35:24.627,71.89,71.92,0.03,9475,11003
09:35:24.629,71.89,71.91,0.02,9475,11203
09:35:24.717,71.9,71.91,0.01,9200,11003
09:35:24.784,71.89,71.91,0.02,9000,11003
09:35:25.013,71.9,71.91,0.01,9400,11003
09:35:25.017,71.9,71.92,0.02,9400,10903
09:35:25.025,71.91,71.92,0.01,9400,11003
09:35:25.032,71.9,71.92,0.02,9400,11003
09:35:25.130,71.9,71.91,0.01,9400,11103
09:35:25.389,71.89,71.91,0.02,9300,11103
09:35:25.405,71.89,71.9,0.01,9300,11103
09:35:25.597,71.89,71.91,0.02,9300,11003
09:35:25.606,71.9,71.91,0.01,9500,11003
09:35:26.129,71.9,71.92,0.02,9500,11003
